position,direction,experience,salary,location,skills,company,RU,ENG,text,date
DevOps Engineer,DevOps,1-3 years,from 3500 to 3500 USD,remote,"Docker, Kubernetes, Ansible, Terraform, Jenkins, Python, Bash, Zabbix, Prometheus",not specified,False,False,"#вакансия #remote 

DevOps Engineer (remote)

В международную компанию, которая занимается облачной телефонией нужен DevOps. 
Проект более 10 лет на рынке, современная облачная инфраструктура в AWS и сильная инженерная команда с выстроенными процессами. 

Требования:
- Опыт более 2 лет на аналогичной позиции
- Знание технологий (Docker, CRI-O)
- Опыт работы с Kubernetes, включая понимание построения архитектуры (например, API server, scheduler, controller manager, etcd, kubelet, kube-proxy)
- Опыт с Ansible and Terraform
- Понимание процесса CI/CD, опыт с CI/CD инструментами (Jenkins как большой плюс)
- Опыт написания скриптов (Python, Bash)
- Опыт администрирования Linux, желательно с RPM-based дистрибутивами
- Опыт работы и настройки систем мониторинга (Zabbix, Prometheus, TIG Stack)
- Понимание и опыт работы с **Git

Дополнительным плюсом будет:
- Опыт работы с облачными сервисами, желательно с AWS
- Понимание VoIP protocols (особенно SIP и RTP) и общей функциональности VoIP
- Опыт администрирования Windows Server
- Знакомства с Golang
- Понимание принципов работы Kafka и Clickhouse

Что предлагаем: 
-  Зп от 3500$
- Удаленную работа;
- Официальное оформление;
- Официальную заработную плату в валюте;
- Командировки за счет компании;
- Сильную и сплоченную команду;
- Корпоративные бенефиты.

Контакты: @viktoria_kolina",2024-11-04 11:16:43+00:00
Data Analyst,Analytics,1-3 years,from 5000000 to 5000000 UZS,not specified,"SQL, Python, Power BI, Agile, REST, SOAP, Postman, SoapUI, XML, JSON, BPMN, UML",Tengemarket.uz,True,False,"DATA АНАЛИТИК/ Аналитик данных
 
📍Компания: Маркетплейс Tengemarket.uz
📍Формат: 100% в офисе с 09-00 до 18-00


📌 Какого человека мы ждем? 
• Опыт работы от 6 месяцев в области аналитики данных
• Навыки работы с реляционными БД, SQL и Python для работы с данными и автоматизации аналитических задач
• Опыт работы с Power BI для визуализации данных (умение работать в Power Query, писать код на языке DAX, строить модель данных, создавать дашборды)
• Опыт работы c Agile методологией (Scrum)
• Понимание принципов интеграции и взаимодействия информационных систем
• Опыт работы с Rest-API, SOAP, Postman, SoapUI
• Понимание XML (XSD) и JSON
• Знание нотации BPMN, UML и инструментов
• Умение писать техническую документацию (навыки Document-writer)
• Отличные коммуникативные навыки
• Умение вести переговоры, проводить интервью, собирать требования
• Отличное знание русского языка, грамотная речь и письмо
• Страсть к аналитике данных и желание развиваться в банковской сфере

📌 Почему это может быть интересно?
•  Есть возможность построить карьеру и влиять на развитие продукта 
•  Руководители отдела и специалисты готовы менторить кандидатов начального уровня и сопровождать их в банковской деятельности
• Молодая и активная команда 

•  Официальное оформление, льготы и компенсации в соответствии с ТК РУз
•  График работы 5/2 с 09:00 до 18:00 
•  ЗП от 5 000 0000 сум и выше 
•  Возможность принимать участие в амбициозных и высокотехнологичных активностях и проектах.

Резюме отправлять: @Margo_imr",2024-10-16 11:21:16+00:00
Cybersecurity Mentor,Cybersecurity,not specified,from 500 to 800 USD,not specified,"Python, Perl, Bash, Powershell",not specified,False,False,"Diqqat! O’quv markazga kiberxavfsizlik bo’yicha ustoz kerak oylik 500$dan 800$ gacham

Vazifalar:
pentest o’tkazish;
dasturiy mahsulotlarning manba kodlari (source code) xavfsizligini tahlil qilish.

Talablar:
Biror bir skript tilida dasturlash qobiliyatiga ega bo’lish: Linux Python, Perl, Bash, Powershell (boshqa tillarda tajriba ham qabul qilinadi: С /C# /C++/Java/PHP);

Rezume va murojaat uchun @jovoxiddin
+998 90-930-33-07",2024-09-13 07:36:51+00:00
Laravel Backend Developer,Backend,1-3 years,from 900 to 1300 USD,remote,"Laravel, SQL, PHP, Docker, Git, CI/CD, REST",Fantom Studio LLC,True,True,"Fantom Studio LLC Uzbekistan

В команду ищем Middle Laravel Backend разработчика.

Требования:

- Ответственность и чувство времени
- Опыт работы с крупными проектами
- Опыт работы с  Laravel, SQL, PHP, Docker, Git, CI/CD инструментами.
- Опыт работы с REST API или создания собственных API
- Умение быстро разбираться в сложных задачах
- Опыт автоматизированного тестирования
- Знание RU и EN языков
- Наличие лицензии самозанятого будет плюсом

Предлагаем:

- Удалённую работу
- Гибкий график
- Полная занятость
- Зарплата $900 - 1300$  (обговаривается)

Оставить свои контакты вы можете используя эту Google форму:

https://forms.gle/uyCNzpKmQLRkFt1h7

(Если вы студент без опыта работы, то не стоит заполнять эту форму. Спасибо)",2024-10-30 12:13:55+00:00
Fullstack Developer,Full-Stack,not specified,from 700 to 700 USD,Tashkent city,"Flask, Django, React.js, PostgreSQL, Redis, Node.js, Python, Bash",OceanSource Software,False,True,"Full Stack Junior Software Engineer

Location: Tashkent, Uzbekistan
Company: OceanSource Software
Salary: starting at $700
Cost of living assistance: $200
Hiring Process: Highly Selective

About OceanSource Software:

OceanSource Software, founded by Stanford alumnus, provides cutting-edge software development services to biotech companies and research institutions. We specialize in building innovative software solutions that help accelerate scientific research and breakthroughs in the biotech space. Here is a podcast about the industry: https://youtu.be/gGkPzMmXZJc

Position Overview:

We are looking for a talented Full Stack Junior Software Engineer to join our team in Tashkent. You will be working across both front-end and back-end technologies to develop web applications and tools that support leading biotech companies and research institutions. As a full stack engineer, you should feel comfortable switching between different programming languages and frameworks as required by each project.

Responsibilities:

 • Assist in building and maintaining back-end services using Flask or Django.
 • Contribute to front-end development with React.js, ensuring an intuitive and dynamic user experience.
 • Manage databases using PostgreSQL and implement caching strategies with Redis.
 • Develop RESTful APIs and services using Node.js and Python.
 • Automate routine tasks using Bash scripting.
 • Assist in deploying, managing, and scaling applications on AWS or Google Cloud.
 • Collaborate with senior engineers to troubleshoot, debug, and optimize software performance.
 • Adapt quickly to using different programming languages and tools as required by each project.

Qualifications:

 • Experience with Flask or Django for back-end development.
 • Experience with React.js for front-end development.
 • Familiarity with PostgreSQL and Redis for data management and caching.
 • Experience with Node.js and Python.
 • Hands-on experience with Bash scripting.
 • Basic experience or familiarity with cloud platforms like AWS or Google Cloud.
 • Ability to switch between programming languages and technologies as needed.
 • Bachelor’s degree in Computer Science, a related field, or equivalent work experience.

Preferred Qualifications:

 • Experience with C or C++ is a plus.
 • Strong problem-solving skills and adaptability.
 • Fluency in English is desirable; working-level English is sufficient.
 • Interest or experience in biotech and life sciences.

How to Apply:
To apply, please email your resume and links to your portfolio or any relevant projects to admin@oceansource.software Questions to @b3kcak3 We value a well-rounded application, so please showcase your experience and skills with examples of past work.

Why Join OceanSource:

 • Work on impactful projects that support biotech research and innovation.
 • Opportunities for learning, growth, and professional development.
• Preparation for IT career in the US’ fast growing biotech and life sciences industry

We look forward to reviewing your application!",2024-10-18 05:48:26+00:00
Fullstack Developer,Full-Stack,no experience,from 700 to 900 USD,Tashkent city,"Flask, Django, React.js, PostgreSQL, Redis, Node.js, Python, Bash",OceanSource Software,False,True,"Full Stack Junior Software Engineer

Location: Tashkent, Uzbekistan
Company: OceanSource Software
Salary: starting at $700
Cost of living assistance: $200
Total starting salary: $900
Hiring Process: Highly Selective

About OceanSource Software:

OceanSource Software, founded by Stanford alumnus, provides cutting-edge software development services to biotech companies and research institutions. We specialize in building innovative software solutions that help accelerate scientific research and breakthroughs in the biotech space. Here is a podcast about the industry: https://youtu.be/gGkPzMmXZJc

Position Overview:

We are looking for a talented Full Stack Junior Software Engineer to join our team in Tashkent. You will be working across both front-end and back-end technologies to develop web applications and tools that support leading biotech companies and research institutions. As a full stack engineer, you should feel comfortable switching between different programming languages and frameworks as required by each project.

Responsibilities:

 • Assist in building and maintaining back-end services using Flask or Django.
 • Contribute to front-end development with React.js, ensuring an intuitive and dynamic user experience.
 • Manage databases using PostgreSQL and implement caching strategies with Redis.
 • Develop RESTful APIs and services using Node.js and Python.
 • Automate routine tasks using Bash scripting.
 • Assist in deploying, managing, and scaling applications on AWS or Google Cloud.
 • Collaborate with senior engineers to troubleshoot, debug, and optimize software performance.
 • Adapt quickly to using different programming languages and tools as required by each project.

Qualifications:

 • Experience with Flask or Django for back-end development.
 • Experience with React.js for front-end development.
 • Familiarity with PostgreSQL and Redis for data management and caching.
 • Experience with Node.js and Python.
 • Hands-on experience with Bash scripting.
 • Basic experience or familiarity with cloud platforms like AWS or Google Cloud.
 • Ability to switch between programming languages and technologies as needed.
 • Bachelor’s degree in Computer Science, a related field, or equivalent work experience.

Preferred Qualifications:

 • Experience with C or C++ is a plus.
 • Strong problem-solving skills and adaptability.
 • Fluency in English is desirable; working-level English is sufficient.
 • Interest or experience in biotech and life sciences.

How to Apply:
To apply, please email your resume and links to your portfolio or any relevant projects to admin@oceansource.software Questions to @b3kcak3 We value a well-rounded application, so please showcase your experience and skills with examples of past work.

Why Join OceanSource:

 • Work on impactful projects that support biotech research and innovation.
 • Opportunities for learning, growth, and professional development.
• Preparation for IT career in the US’ fast growing biotech and life sciences industry

We look forward to reviewing your application!",2024-10-22 06:28:03+00:00
IT Project Manager,Management,1-3 years,from 7000000 to 7000000 UZS,not specified,"Jira, Confluence",Imkon Uzbekistan,True,False,"IT Project manager
от 7 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem 

Требуемый опыт работы: 1 года
Полная занятость, полный день

🎯Обязанности:

- Разработка документации по проекту, технических заданий, техно-рабочего проекта;
- Описание информационных потоков;
- Постановка задач;
- Разработка руководства для пользователя;
- Разработка методики испытаний (контрольные примеры);
- Описание структур данных;

🎯Требования:

-Опыт работы в роли IT Project Manager от 1 года;
- Опыт работы с инструментами управления проектами (Jira, Confluence и др.);
- Знание методологий управления проектами (Agile, Scrum);
- Свободное и грамотное владение русским языком;
- Умение работать с большим объемом информации и быстро погружаться в новую функциональную среду;
- Аналитическое мышление, умение выявлять и решать проблемы, а также принимать решения в сложных ситуациях;
- Умение планировать свое рабочее время и расставлять приоритеты в режиме многозадачности;
- Инициативность, самостоятельность;
- Активность, желание развиваться;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @commeta_hr
Для более подробной информации: 
+99877 093-00-01",2024-09-12 11:03:39+00:00
IT Project Manager,Management,1-3 years,from 7000000 to 7000000 UZS,not specified,"Jira, Confluence",Imkon Uzbekistan,True,False,"IT Project manager
от 7 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem 

Требуемый опыт работы: 1 года
Полная занятость, полный день

🎯Обязанности:

- Разработка документации по проекту, технических заданий, техно-рабочего проекта;
- Описание информационных потоков;
- Постановка задач;
- Разработка руководства для пользователя;
- Разработка методики испытаний (контрольные примеры);
- Описание структур данных;

🎯Требования:

-Опыт работы в роли IT Project Manager от 1 года;
- Опыт работы с инструментами управления проектами (Jira, Confluence и др.);
- Знание методологий управления проектами (Agile, Scrum);
- Свободное и грамотное владение русским языком;
- Умение работать с большим объемом информации и быстро погружаться в новую функциональную среду;
- Аналитическое мышление, умение выявлять и решать проблемы, а также принимать решения в сложных ситуациях;
- Умение планировать свое рабочее время и расставлять приоритеты в режиме многозадачности;
- Инициативность, самостоятельность;
- Активность, желание развиваться;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @commeta_hr 
Для более подробной информации: 
+99877 093-00-01",2024-09-11 07:59:33+00:00
IT Project Manager,Management,1-3 years,from 7000000 to 7000000 UZS,not specified,"Jira, Confluence, Agile, Scrum",Imkon Uzbekistan,True,False,"IT Project manager
от 7 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem 

Требуемый опыт работы: 1 года
Полная занятость, полный день

🎯Обязанности:

- Разработка документации по проекту, технических заданий, техно-рабочего проекта;
- Описание информационных потоков;
- Постановка задач;
- Разработка руководства для пользователя;
- Разработка методики испытаний (контрольные примеры);
- Описание структур данных;

🎯Требования:

-Опыт работы в роли IT Project Manager от 1 года;
- Опыт работы с инструментами управления проектами (Jira, Confluence и др.);
- Знание методологий управления проектами (Agile, Scrum);
- Свободное и грамотное владение русским языком;
- Умение работать с большим объемом информации и быстро погружаться в новую функциональную среду;
- Аналитическое мышление, умение выявлять и решать проблемы, а также принимать решения в сложных ситуациях;
- Умение планировать свое рабочее время и расставлять приоритеты в режиме многозадачности;
- Инициативность, самостоятельность;
- Активность, желание развиваться;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @hr_commeta
Для более подробной информации: 
+99877 093-00-01",2024-09-10 07:58:50+00:00
IT Project Manager,Management,1-3 years,from 7000000 to 7000000 UZS,not specified,"Jira, Confluence",Imkon Uzbekistan,True,False,"IT Project manager
от 7 000 000
ННО ""Imkon Uzbekistan""
Commeta Ecosystem

Требуемый опыт работы: 1 года
Полная занятость, полный день

🎯Обязанности:

- Разработка документации по проекту, технических заданий, техно-рабочего проекта;
- Описание информационных потоков;
- Постановка задач;
- Разработка руководства для пользователя;
- Разработка методики испытаний (контрольные примеры);
- Описание структур данных;

🎯Требования:

-Опыт работы в роли IT Project Manager от 1 года;
- Опыт работы с инструментами управления проектами (Jira, Confluence и др.);
- Знание методологий управления проектами (Agile, Scrum);
- Свободное и грамотное владение русским языком;
- Умение работать с большим объемом информации и быстро погружаться в новую функциональную среду;
- Аналитическое мышление, умение выявлять и решать проблемы, а также принимать решения в сложных ситуациях;
- Умение планировать свое рабочее время и расставлять приоритеты в режиме многозадачности;
- Инициативность, самостоятельность;
- Активность, желание развиваться;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.

Отправлять резюме на: @commeta_hr
Для более подробной информации:",2024-11-19 07:12:36+00:00
IT Project Manager,Management,1-3 years,from 7000000 to 7000000 UZS,not specified,"Jira, Confluence, Agile, Scrum",Imkon Uzbekistan,True,False,"IT Project manager
от 7 000 000
ННО ""Imkon Uzbekistan""
Commeta Ecosystem

Требуемый опыт работы: 1 года
Полная занятость, полный день

🎯Обязанности:

- Разработка документации по проекту, технических заданий, техно-рабочего проекта;
- Описание информационных потоков;
- Постановка задач;
- Разработка руководства для пользователя;
- Разработка методики испытаний (контрольные примеры);
- Описание структур данных;

🎯Требования:

-Опыт работы в роли IT Project Manager от 1 года;
- Опыт работы с инструментами управления проектами (Jira, Confluence и др.);
- Знание методологий управления проектами (Agile, Scrum);
- Свободное и грамотное владение русским языком;
- Умение работать с большим объемом информации и быстро погружаться в новую функциональную среду;
- Аналитическое мышление, умение выявлять и решать проблемы, а также принимать решения в сложных ситуациях;
- Умение планировать свое рабочее время и расставлять приоритеты в режиме многозадачности;
- Инициативность, самостоятельность;
- Активность, желание развиваться;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.

Отправлять резюме на: @commeta_hr
Для более подробной информации:
770930001",2024-12-03 07:06:25+00:00
Call Center Operator,Other,1-3 years,from 3000000 to 6000000 UZS,not specified,"Word, Excel, PowerPoint",RealSoft,True,False,"IT компания «RealSoft» приглашает оператора Call-центра с опытом работы от 1 года и выше.

3 000 000 - 6 000 000 сум  до вычета налогов
Требуемый опыт работы: 1–3 года

Полная занятость, полный день

Обязанности:

Грамотная и четкая речь
Свободное владение русским и узбекским языками;
Продвинутый пользователь ПК: Word, Excel, PowerPoint;
Коммуникабельность;
Стрессоустойчивость.

Требования:

Консультирование клиентов по возникающим вопросам;
Прием заявок и жалоб;

Условия:

Возможность приобрести много полезных знаний и навыков;
Профессиональный и карьерный рост в сфере IT в качестве программиста;
Официальное трудоустройство согласно ТК РУз;
Своевременная оплата труда без задержек;
 тел: +998 99 255 84 84 +998 91 770 08 07
https://t.me/hrd_realsoft",2024-12-03 07:29:46+00:00
Node.js Fullstack Developer,Full-Stack,1-3 years,from 1000 to 1500 USD,Tashkent city,"Node.js, TypeScript, NestJS, PostgreSQL, Redis, Prisma ORM, Docker, ELK, Prometheus, Swagger, Git",Citi Fuel,False,False,"IT разработчик
от 1 000 до 1 500 $ на руки
Citi Fuel (ООО Staff Atlantic)
Ташкент

Citi Fuel (ООО Staff Atlantic)
Требуемый опыт работы: 1–3 года

Полная занятость, полный день

О нас: ""Citifuel"" LLC (офисы в Узбекистане и США), компания, предоставляющая дисконтные топливные карты в США. В данный момент мы в поисках IT разработчика с опытом работы более 2 лет.
Fullstack-разработка (full stack development) — это подход в программировании, при котором разработчик специализируется на создании программного обеспечения как для клиентской (frontend), так и для серверной (backend) частей веб-приложений.

Чем предстоит заниматься:

Активное участие в проектировании архитектуры и принятии технических решений;
Внедрение новых технологий и подходов в разработке;
Активно предлагать идеи и влиять на продукт;
Проектирование баз данных, разработка API;
Реализовывать бизнес-требования;
Заглядывать в чужой код в рамках Code Review и помогать товарищам не положить прод.
Необходимые знания:

Стек: Nodejs\typescript, NestJS, PostgreSQL, Redis, Prisma ORM, Docker, ELK, Prometheus;
Написание процедур и функций в СУБД Postgres;
Глубокие познания в проектировании БД, работа с PostgreSQL и опыт оптимизации запросов;
Уверенный опыт разработки на Nest.js + TypeScript;
Уверенные знания Node.js;
Опыт работы с системами контроля версий Git;
Понимание и опыт работы с сетевыми протоколами (TCP, IP, HTTP);
Опыт с CI/CD;
Swagger;
Логирование.
Понимание ФП и ООП, архитектурных подходов в разработке ПО
Будет преимуществом:

Опыт написания тестов (Jest);
Понимание работы сети, принципов сетевого взаимодействия и построения API;
Алгоритмы и структуры данных;
Docker;
Redis;
ОС Linux.
Условия:
Современный офис в центре Ташкента;
Официальная регистрация;
5-дневная рабочая неделя с 9 утра по 6 вечера;
Возможности для роста и профессионального развития;
Поддерживающая командная среда, в которой ценятся инновации и креативность;
Конкурентоспособный пакет заработной платы и льгот.
Огромная просьба всем соискателям, до того как вы откликнетесь, еще раз прочтите требования. 
Обращаться по тг Компания ""Citifuel"" LLC (офисы в Узбекистане и США), компания, предоставляющая дисконтные топливные карты в США. В данный момент мы в поисках Fullstack разработчика с продвинутым уровнем NodeJs, NextJs.
Приглашаем на фултайм занятость.
Оклад от 1500$. Писать в тг 957307304 Нигора.",2024-09-12 09:55:48+00:00
Fullstack Developer,Full-Stack,not specified,from 700 to 700 USD,Tashkent city,"Flask, Django, React.js, PostgreSQL, Redis, Node.js, Python, Bash",OceanSource Software,False,True,"Job Title: Full Stack Junior Software Engineer

Location: Tashkent, Uzbekistan
Company: OceanSource Software
Salary: starting at $700
Hiring Process: Highly Selective

About OceanSource Software:

OceanSource Software, founded by Stanford alumnus, provides cutting-edge software development services to biotech companies and research institutions. We specialize in building innovative software solutions that help accelerate scientific research and breakthroughs in the biotech space.

Position Overview:

We are looking for a talented Full Stack Junior Software Engineer to join our team in Tashkent. You will be working across both front-end and back-end technologies to develop web applications and tools that support leading biotech companies and research institutions. As a full stack engineer, you should feel comfortable switching between different programming languages and frameworks as required by each project.

Responsibilities:

 • Assist in building and maintaining back-end services using Flask or Django.
 • Contribute to front-end development with React.js, ensuring an intuitive and dynamic user experience.
 • Manage databases using PostgreSQL and implement caching strategies with Redis.
 • Develop RESTful APIs and services using Node.js and Python.
 • Automate routine tasks using Bash scripting.
 • Assist in deploying, managing, and scaling applications on AWS or Google Cloud.
 • Collaborate with senior engineers to troubleshoot, debug, and optimize software performance.
 • Adapt quickly to using different programming languages and tools as required by each project.

Qualifications:

 • Experience with Flask or Django for back-end development.
 • Experience with React.js for front-end development.
 • Familiarity with PostgreSQL and Redis for data management and caching.
 • Experience with Node.js and Python.
 • Hands-on experience with Bash scripting.
 • Basic experience or familiarity with cloud platforms like AWS or Google Cloud.
 • Ability to switch between programming languages and technologies as needed.
 • Bachelor’s degree in Computer Science, a related field, or equivalent work experience.

Preferred Qualifications:

 • Experience with C or C++ is a plus.
 • Strong problem-solving skills and adaptability.
 • Fluency in English is desirable; working-level English is sufficient.
 • Interest or experience in biotech and life sciences.

How to Apply:
To apply, please email your resume and links to your portfolio or any relevant projects to admin@oceansource.software Questions to @b3kcak3 We value a well-rounded application, so please showcase your experience and skills with examples of past work.

Why Join OceanSource:

 • Work on impactful projects that support biotech research and innovation.
 • Opportunities for learning, growth, and professional development.

We look forward to reviewing your application!",2024-10-17 06:04:54+00:00
1C Developer,Enterprise Software,no experience,from 3000000 to 30000000 UZS,remote,"1C, API, Android SDK",MIG,False,False,"Junior 1С Программист | MIG

Род деятельности:  автоматизация бизнес процессов, разработка и проектирование эффективных систем управления на базе 1С.

Функциональные обязанности:

- Проектирование и разработка информационных систем ""с нуля"";
- Собирать требования и управлять реализацией продуктов и проектов;
- Разрабатывать архитектуру;
- Реализация ключевого функционала;
- Взаимодействие со сторонними продуктами, аналитиками, и командой разработчиков;

Профессиональные навыки:

- Любить решать интересные и сложные задачи;
- Умение и желание, честно и добросовестно работать;
- Опыт работы не важен! Главное - желание учиться, развиваться и зарабатывать!

Наш стек: Встроенный язык программирования 1С:Предприятия, Язык запросов, 1С Платформа для мобильных устройств, Repository, Android SDK, API.

Условия:
- официальное трудоустройство после прохождения испытательного срока в 1 месяц, освоения учебного материала, прохождения тестирования.
- график работы 6-ти дневка
- дружелюбный коллектив

Вид занятости - Полная занятость. (офисная/удаленная)
Заработная плата -  Сдельная форма оплаты труда: 
- Фиксированный минимальный оклад гарантирован - от 1 000 000 до 2 000 000 сум;
- Средний заработок по сдельной оплате от 3 000 000 до 30 000 000 сум. (Всё зависит от Вас)

Контактное лицо - Дмитрий
Телеграм: @DiKim",2024-12-02 14:00:13+00:00
QA Engineer,QA,1-3 years,from 12000000 to 12000000 UZS,not specified,not specified,Commeta Ecosystem,False,False,"Middle QA Engineer
от 12 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem

Требуемый опыт работы: 1–2 года
Полная занятость, полный день


🎯Обязанности:
- Анализ и ревью требований к ПO;
- Разработка тестовой документации на основе анализа требований: checklists, test-scenarios, test-cases, - поддержание тестовой документации в актуальном состоянии
- Тестирование Web-приложения: функциональное и нефункциональное (DB testing), смоук и регрессионное;
- Поиск дефектов и оформление bug-reports, анализ результатов тестирования;
- Участие во всех командных активностях: планирование и оценка трудозатрат по задачам, расширение покрытия регрессионных тестов, выбор методов тестирования, анализ и исследование внутренних тулов автоматизации тестирования, внедрение оптимального способа автоматизации, внедрение улучшений и оптимизация процессов тестирования в команде.

🎯Требования:
- Релевантый опыт тестирования web-приложений 1-2 года;
знание теории тестирования и умение применить эти знания на практике;
- Знание web-технологий, понимание архитектуры web-приложений;
- Опыт работы с Developer Tools браузера;
- Понимание Agile методологии разработки ПО;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @commeta_hr
Для более подробной информации: 77 093 00 01",2024-11-21 09:10:00+00:00
QA Engineer,QA,1-3 years,from 8000000 to 8000000 UZS,not specified,not specified,Imkon Uzbekistan,False,False,"Middle QA Engineer
от 8 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem

Требуемый опыт работы: 1–2 года
Полная занятость, полный день


🎯Обязанности:

- Анализ и ревью требований к ПO;
- Разработка тестовой документации на основе анализа требований: checklists, test-scenarios, test-cases, - поддержание тестовой документации в актуальном состоянии
- Тестирование Web-приложения: функциональное и нефункциональное (DB testing), смоук и регрессионное;
- Поиск дефектов и оформление bug-reports, анализ результатов тестирования;
- Участие во всех командных активностях: планирование и оценка трудозатрат по задачам, расширение покрытия регрессионных тестов, выбор методов тестирования, анализ и исследование внутренних тулов автоматизации тестирования, внедрение оптимального способа автоматизации, внедрение улучшений и оптимизация процессов тестирования в команде.

🎯Требования:

- Релевантый опыт тестирования web-приложений 1-2 года;
знание теории тестирования и умение применить эти знания на практике;
- Знание web-технологий, понимание архитектуры web-приложений;
- Опыт работы с Developer Tools браузера;
- Понимание Agile методологии разработки ПО;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @commeta_hr 
Для более подробной информации: 770930001",2024-11-18 11:52:10+00:00
QA Engineer,QA,1-3 years,from 8000000 to 8000000 UZS,not specified,not specified,Imkon Uzbekistan,False,False,"Middle QA Engineer
от 8 000 000

ННО ""Imkon Uzbekistan""
Commeta Ecosystem

Требуемый опыт работы: 1–2 года
Полная занятость, полный день


🎯Обязанности:
- Анализ и ревью требований к ПO;
- Разработка тестовой документации на основе анализа требований: checklists, test-scenarios, test-cases, - поддержание тестовой документации в актуальном состоянии
- Тестирование Web-приложения: функциональное и нефункциональное (DB testing), смоук и регрессионное;
- Поиск дефектов и оформление bug-reports, анализ результатов тестирования;
- Участие во всех командных активностях: планирование и оценка трудозатрат по задачам, расширение покрытия регрессионных тестов, выбор методов тестирования, анализ и исследование внутренних тулов автоматизации тестирования, внедрение оптимального способа автоматизации, внедрение улучшений и оптимизация процессов тестирования в команде.

🎯Требования:
- Релевантый опыт тестирования web-приложений 1-2 года;
знание теории тестирования и умение применить эти знания на практике;
- Знание web-технологий, понимание архитектуры web-приложений;
- Опыт работы с Developer Tools браузера;
- Понимание Agile методологии разработки ПО;

🎯Условия:

- Гибкий график работы 5/2, 9.00-18.00;
- Оформление по ТК РУз;
- Стабильная и конкурентная заработная плата, бонусы, премии;
- Комфортный офис;
- Возможности для обучения и развития, карьерный рост, менторство;
- Культура компании, баланс между работой и личной жизнью, поддержка со стороны руководства.


Отправлять резюме на: @commeta_hr
Для более подробной информации: 77 093 00 01",2024-11-20 10:30:04+00:00
